-- Configuring done (3.9s)
-- Generating done (2.1s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestAdhesion
=== BUILD DONE, STARTING TestAdhesion ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestAdhesion.hpp *****


Entering TestLineTension_0p00_rep1
Starting simulation: LineTension_0.00_rep1
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=110 h | cells=95 | area=58.3307/60 | coverage=97.2178%
t=111 h | cells=106 | area=59.014/60 | coverage=98.3567%
t=112 h | cells=109 | area=59.5484/60 | coverage=99.2474%
t=113 h | cells=109 | area=59.8066/60 | coverage=99.6777%
t=114 h | cells=109 | area=59.927/60 | coverage=99.8783%
t=115 h | cells=109 | area=59.9918/60 | coverage=99.9863%
t=116 h | cells=109 | area=59.9999/60 | coverage=99.9999%
t=117 h | cells=109 | area=60/60 | coverage=100%
Box fully covered (100%) at t=117 h. Stopping.
Final cell count: 109
Passed
Entering TestLineTension_0p02_rep1
Starting simulation: LineTension_0.02_rep1
lineTension = 0.02
Target area: 60 units^2
Initial cell count: 6
t=1 h | cells=6 | area=5.41511/60 | coverage=9.02518%
t=2 h | cells=6 | area=5.54517/60 | coverage=9.24195%
t=3 h | cells=6 | area=5.64523/60 | coverage=9.40872%
t=4 h | cells=6 | area=5.74585/60 | coverage=9.57641%
t=5 h | cells=6 | area=5.79825/60 | coverage=9.66375%
t=6 h | cells=6 | area=5.79947/60 | coverage=9.66578%
t=7 h | cells=6 | area=5.80021/60 | coverage=9.66702%
